10_146,"[[[28/5, -14/5], [-14/5, 7/5]]]"
10_147,"[[[2/5, -6/5], [-6/5, -2/5]]]"
10_158,"[[[-6, 2], [2, -2]]]"
10_159,"[[[0, -2], [-2, -1]]]"
10_160,"[[[-10, 2], [2, -4]]]"
10_163,"[[[0, -2], [-2, -1]]]"
10_164,"[[[4, -2], [-2, 1]]]"
10_165,"[[[-8, 6], [6, -1]]]"
11a_6,"[[[-14, 6], [6, -4]]]"
11a_8,"[[[6, -2], [-2, 2]]]"
11a_16,"[[[8, -4], [-4, 2]]]"
11a_17,"[[[4, -4], [-4, 0]]]"
11a_21,"[[[-6, 0], [0, -3]]]"
11a_37,"[[[-2, 0], [0, -1]]]"
11a_38,"[[[52/7, -26/7], [-26/7, 13/7]]]"
11a_43,"[[[-2, -4], [-4, -3]], [[2, -6], [-6, -2]], [[-2, -4], [-4, -3]], [[-2, -4], [-4, -3]]]"
11a_44,"[[[-2, 0], [0, -1]], [[2, -2], [-2, 0]], [[6, -4], [-4, 1]], [[-2, 0], [0, -1]]]"
11a_45,"[[[4, -4], [-4, 0]]]"
11a_46,"[[[6, -4], [-4, 1]]]"
11a_47,"[[[6, -4], [-4, 1]], [[-2, 0], [0, -1]], [[-2, 0], [0, -1]], [[2, -2], [-2, 0]]]"
11a_49,"[[[-6, 0], [0, -3]]]"
11a_57,"[[[-4, 2], [2, -1]], [[-8, 4], [4, -2]], [[0, 0], [0, 0]], [[0, 0], [0, 0]]]"
11a_58,"[[[0, 0], [0, 0]]]"
11a_63,"[[[2, 2], [2, 2]]]"
11a_69,"[[[-28, 14], [14, -7]]]"
11a_71,"[[[4, -4], [-4, 0]]]"
11a_72,"[[[-2, 0], [0, -1]]]"
11a_73,"[[[-4, 2], [2, -1]]]"
11a_78,"[[[-78/5, 34/5], [34/5, -22/5]]]"
11a_90,"[[[-10, 6], [6, -2]]]"
11a_91,"[[[-12, 6], [6, -3]]]"
11a_93,"[[[-18, 10], [10, -4]]]"
